date,positive,recovered,death
20200229,18,,5
20200301,50,,8
20200302,94,,11
20200303,142,,14
20200304,281,,16
20200305,388,,20
20200306,500,,26
20200307,678,,27
20200308,876,,31
20200309,1168,,35
20200310,1555,,37
20200311,2064,,43
20200312,2735,,51
20200313,3807,,55
20200314,4731,,64
20200315,6022,,79
20200316,7770,,100
20200317,10358,,123
20200318,13447,,155
20200319,18098,,203
20200320,24245,,272
20200321,31038,,334
20200322,40163,,480
20200323,51602,,581
20200324,62371,,815
20200325,75279,146,1050
20200326,92999,97,1370
20200327,112127,2418,1776
20200328,131819,3143,2314
20200329,151400,4052,2835
20200330,173442,4560,3424
20200331,198295,5666,4314
20200401,224086,7084,5324
20200402,252146,8586,6496
20200403,284222,10861,7782
20200404,317434,12816,9264
20200405,342934,14513,10604
20200406,371936,16554,11922
20200407,402821,18443,13946
20200408,433416,21102,15956
20200409,467911,24819,17999
20200410,502294,28997,20107
20200411,532800,31567,22162
20200412,560563,34081,23865
20200413,585763,35372,25509
20200414,611472,39268,27845
20200415,641781,43435,30389
20200416,672760,48851,32589
20200417,704773,53533,34709
20200418,732679,62840,36602
20200419,760066,67205,38374
20200420,785965,69493,40172
20200421,812326,72842,42639
20200422,841281,92978,44737
20200423,873091,96921,46528
20200424,907325,101296,48423
20200425,943196,112539,50171
20200426,970508,116529,51386
20200427,993206,121323,52656
20200428,1018489,139041,54728
20200429,1044796,147165,57441
20200430,1074764,154648,59581
20200501,1107793,163644,61359
20200502,1136941,174987,62923
20200503,1162648,179733,64154
20200504,1185294,186752,65189
20200505,1207740,189336,67641
20200506,1232836,189425,69591
20200507,1260396,194528,72343
20200508,1287613,198459,74141
20200509,1312831,211976,75586
20200510,1333894,215591,76622
20200511,1352265,232142,77514
20200512,1375162,238857,79001
20200513,1396434,243430,80705
20200514,1423232,246414,82585
20200515,1447916,250747,84092
20200516,1472594,268376,85080
20200517,1492628,272265,85929
20200518,1513644,283178,86777
20200519,1534543,289484,88103
20200520,1555861,294312,89502
20200521,1582535,298418,90896
20200522,1606982,350135,92237
20200523,1628513,361239,93300
20200524,1648560,366736,93980
20200525,1667251,379157,94539
20200526,1684081,384902,95184
20200527,1703518,391508,96505
20200528,1726148,478099,97736
20200529,1749722,484554,98920
20200530,1773404,494569,99852
20200531,1794962,522866,100504
20200601,1815444,536339,101172
20200602,1835554,541976,102134
20200603,1855946,557366,103127
20200604,1876826,569623,104020
20200605,1900226,576327,104846
20200606,1923290,585470,105574
20200607,1942030,590988,106021
20200608,1959239,603143,106682
20200609,1976551,609476,107584
20200610,1997445,618125,108471
20200611,2019598,629017,109370
20200612,2043195,636111,110145
20200613,2068571,645331,110839
20200614,2089970,650541,111195
20200615,2108600,665059,111576
20200616,2132097,672228,112306
20200617,2156098,680916,113073
20200618,2183844,690692,113778
20200619,2215315,698119,114433
20200620,2247609,708864,115062
20200621,2275537,713537,115356
20200622,2302818,731602,115642
20200623,2336265,738952,116352
20200624,2375337,747565,117076
20200625,2414977,756719,117723
20200626,2459520,763966,118360
20200627,2502684,772465,118871
20200628,2544254,778321,119142
20200629,2584067,798360,119474
20200630,2631931,813788,120070
20200701,2682912,823151,120771
20200702,2736997,875127,121466
20200703,2790945,883561,122064
20200704,2845283,894325,122370
20200705,2890895,902558,122579
20200706,2932813,924148,122822
20200707,2984541,936476,123745
20200708,3047213,953420,124552
20200709,3106370,969111,125419
20200710,3173216,983185,126273
20200711,3236111,995576,127030
20200712,3297423,1006326,127506
20200713,3355514,1031939,127833
20200714,3418243,1049098,128569
20200715,3484040,1075882,129427
20200716,3555076,1090645,130374
20200717,3631918,1106844,131325
20200718,3696869,1122720,132197
20200719,3761129,1131171,132724
20200720,3818170,1160087,133087
20200721,3882100,1182931,134126
20200722,3951433,1210849,135297
20200723,4022985,1233269,136353
20200724,4098221,1261624,137529
20200725,4162962,1279414,138552
20200726,4223962,1297863,139111
20200727,4279294,1325804,140171
20200728,4338297,1355363,141293
20200729,4402705,1390568,142785
20200730,4472123,1413957,144044
20200731,4539746,1438160,145356
20200801,4600847,1461885,146546
20200802,4647659,1468689,147044
20200803,4697372,1513446,147563
20200804,4749238,1528979,148818
20200805,4801562,1577851,150164
20200806,4855749,1598624,151415
20200807,4917094,1623870,152748
20200808,4970806,1643137,153837
20200809,5021433,1656888,154453
20200810,5063522,1670755,154879
20200811,5119223,1714960,156205
20200812,5175357,1755225,157724
20200813,5227116,1774648,158887
20200814,5282752,1796326,160103
20200815,5338901,1818546,161324
20200816,5381388,1833096,161943
20200817,5419268,1865580,162350
20200818,5460063,1889170,163546
20200819,5505018,1924875,164966
20200820,5548776,1946866,166100
20200821,5595337,1965056,167223
20200822,5641573,1985493,168252
20200823,5679139,1997782,168824
20200824,5713782,2020774,169167
20200825,5750161,2053699,170314
20200826,5794214,2084465,171612
20200827,5838198,2101326,172741
20200828,5884746,2118367,173764
20200829,5929247,2140631,174779
20200830,5968748,2153963,175254
20200831,6000154,2184825,175620
20200901,6042587,2202682,176647
20200902,6073190,2231757,177679
20200903,6117904,2266957,178749
20200904,6169495,2283454,179747
20200905,6214400,2302203,180665
20200906,6247517,2316020,181114
20200907,6276199,2333583,181339
20200908,6298422,2359111,181697
20200909,6329405,2387479,182780
20200910,6366986,2403511,183950
20200911,6411913,2417878,184968
20200912,6454000,2438903,185778
20200913,6488453,2450184,186167
20200914,6522317,2477942,186571
20200915,6557762,2495127,187602
20200916,6597783,2525573,188802
20200917,6641341,2540334,189665
20200918,6688827,2557862,190566
20200919,6734366,2577467,191306
20200920,6770661,2589239,191633
20200921,6810133,2615974,191920
20200922,6859572,2646959,192774
20200923,6898139,2672338,193931
20200924,6941911,2710183,194852
20200925,6997437,2727335,195696
20200926,7045170,2750459,196562
20200927,7080459,2766280,196869
